price_reduced_amount,year_built,sold_date,sold_price,lot_sqft,sqft,baths,garage,stories,beds,postal_code,state,city,central_air,central_heat,fireplace,rental_property,energy_efficient,community_security_features,carport,dishwasher,washer_dryer,laundry_room,floor_plan,ensuite,shopping,hardwood_floors,high_ceiling,open_floor_plan,fenced_yard,new_roof,front_porch,groundscare,basement,corner_lot,farm,ranch,forced_air,dining_room,family_room,view,near_outdoors,near_rec_facilities,fancy_kitchen,type_condo,type_land,type_mobile,type_multi_family,type_other,type_single_family,type_townhome,season_autumn,season_summer,season_winter
0.0,1927,2024-01-08,282000.0,6098.0,2654.0,2,2,1,4,6114,Connecticut,Hartford,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
24000.0,1900,2024-01-05,542500.0,8712.0,5553.0,6,0,1,12,6114,Connecticut,Hartford,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
0.0,1929,2024-01-05,450000.0,7405.0,3834.0,3,3,1,7,6114,Connecticut,Hartford,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
0.0,1950,2024-01-05,215000.0,8712.0,1540.0,1,1,1,4,6112,Connecticut,Hartford,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.0,1910,2024-01-05,362500.0,7405.0,4592.0,2,0,1,8,6105,Connecticut,Hartford,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
20000.0,1880,2024-01-05,227000.0,7405.0,4512.0,2,0,1,3,6106,Connecticut,Hartford,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
0.0,1925,2024-01-04,425000.0,8276.0,3642.0,3,0,1,5,6105,Connecticut,Hartford,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1
0.0,1951,2024-01-02,265000.0,8712.0,1810.0,2,0,1,3,6112,Connecticut,Hartford,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
0.0,1950,2024-01-02,305000.0,12197.0,1984.0,2,0,1,4,6112,Connecticut,Hartford,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
3000.0,1965,2023-12-29,60000.0,7841.0,546.0,1,0,1,1,6114,Connecticut,Hartford,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
15000.0,1920,2023-12-29,137000.0,7841.0,1419.0,3,0,2,3,6112,Connecticut,Hartford,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
0.0,1958,2023-12-29,65000.0,7841.0,654.0,1,1,3,2,6114,Connecticut,Hartford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0,1969,2023-12-29,350000.0,7841.0,2772.0,2,2,1,5,6114,Connecticut,Hartford,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
0.0,1915,2023-12-28,440000.0,6534.0,5304.0,3,3,1,9,6106,Connecticut,Hartford,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
