property_id,listing_id,status,list_date,community,open_houses,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,postal_code,state,city,lon,lat,central_air,central_heat,fireplace,single_story,garage_1_or_more,rental_property,community_outdoor_space,energy_efficient,garage_2_or_more,community_golf,community_security_features,golf_course_lot_or_frontage,golf_course_view,recreation_facilities,garage_3_or_more,jack_and_jill_bathroom,golf_course,hoa,carport,dishwasher,washer_dryer,big_lot,maintenance,laundry_room,two_or_more_stories,floor_plan,ensuite,private_courtyard,security,shopping,hardwood_floors,high_ceiling,storm_shelter,handicap_access,views,community_swimming_pool,modern_kitchen,open_kitchen,beautiful_backyard,open_floor_plan,big_yard,fenced_yard,master_bedroom,new_roof,front_porch,outbuilding,swimming_pool,large_kitchen,water_view,lake,groundscare,no_hoa,coffer_ceiling,lake_view,spa_or_hot_tub,basement,updated_kitchen,wrap_around_porch,solar_system,pond,corner_lot,cul_de_sac,vaulted_ceiling,master_suite,farm,private_backyard,granite_kitchen,efficient,park,gated_community,fixer_upper,ranch,big_bathroom,library,smart_homes,greenbelt,river_view,playground,trails,forced_air,investment_opportunity,disability_features,gourmet_kitchen,wooded_land,medicalcare,dining_room,cathedral_ceiling,clubhouse,first_floor_master_bedroom,furniture,large_porch,family_room,view,waterfront,tennis_court,tennis,community_center,private_bathroom,beach,senior_community,screen_porch,well_water,solar_panels,community_gym,community_spa_or_hot_tub,community_clubhouse,community_tennis_court,private_parking,basketball_court,soccer,basketball,open_house,elevator,master_bathroom,den_or_office,rv_parking,hill_or_mountain_view,mountain_view,baseball,pets_allowed,community_elevator,low_hoa,two_master_suites,guest_house,fruit_trees,wine_cellar,ocean_view,city_view,media_room,community_park,rv_or_boat_parking,river_access,theater_room,courtyard_entry,marina,volleyball,guest_parking,exposed_brick,white_kitchen,dual_master_bedroom,community_boat_facilities,kitchen_island,game_room,boat_dock,fenced_courtyard,horse_stables,horse_property,indoor_basketball_court,horse_facilities,outdoor_kitchen,detached_guest_house,equestrian,greenhouse,two_kitchen,community_horse_facilities
4142687099,2959807962,sold,2023-09-19T20:01:48.000000Z,,,2007.0,,2023-12-15,220000.0,2.0,,,6970.0,1455.0,2.0,,,2.0,1.0,3.0,single_family,,,,,False,,,,,False,46235,Indiana,Indianapolis,-85.96598,39.861372,True,,True,True,True,,,True,True,,,,,True,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,True,,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
4011368399,2960992969,sold,2023-10-30T18:48:03.000000Z,,,1993.0,,2023-12-15,330000.0,3.0,,1.0,10890.0,2548.0,4.0,,,2.0,2.0,4.0,single_family,,,,,,,,,,False,46228,Indiana,Indianapolis,-86.220686,39.860082,True,,True,,True,,,,True,,,,True,True,,,True,,,,,,,,True,,,,,,,True,,,,,True,,,,True,,True,,,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,True,,,,,,True,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4947503211,2961742770,sold,2023-11-16T18:43:04.000000Z,,,2003.0,,2023-12-15,325000.0,2.0,,1.0,13068.0,2595.0,3.0,,,2.0,2.0,3.0,single_family,,,,,,,,,,False,46231,Indiana,Indianapolis,-86.327823,39.736368,True,,,,True,,,,True,,,,,True,,,,,,,,,,,True,,,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,True,,,,,,True,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
3563345865,2960975401,sold,2023-10-29T17:23:44.000000Z,,,1973.0,,2023-12-13,69000.0,1.0,,,,1012.0,1.0,condo,,,2.0,2.0,condos,,,,,,,,,,False,46229,Indiana,Indianapolis,-85.988918,39.806379,True,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4017425811,2960835938,sold,2023-10-24T19:41:56.000000Z,,,2005.0,,2023-12-11,281000.0,2.0,,1.0,11326.0,2246.0,3.0,,,2.0,2.0,3.0,single_family,,,,,False,,,,,False,46217,Indiana,Indianapolis,-86.215861,39.658421,True,,,,True,,,,True,,,,,True,,,True,,,,,,,,True,,,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
3964221907,2961576048,sold,2023-11-13T04:26:27.000000Z,,,1920.0,,2023-12-09,85000.0,2.0,,,7405.0,1110.0,2.0,,,1.0,1.0,2.0,single_family,,,,,,,,,,False,46241,Indiana,Indianapolis,-86.252313,39.750198,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3081593282,2957121029,sold,2023-06-27T20:44:39.000000Z,,,1925.0,,2023-12-06,100000.0,1.0,,,4704.0,1071.0,1.0,,,,1.0,3.0,single_family,,,,,False,,,,,False,46218,Indiana,Indianapolis,-86.109341,39.808644,True,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4356156048,2960034516,sold,2023-09-27T17:05:32.000000Z,,,1950.0,,2023-12-05,261000.0,1.0,,,12197.0,1822.0,1.0,,,1.0,1.0,3.0,single_family,,,,,,,,,,False,46220,Indiana,Indianapolis,-86.125892,39.873511,True,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9542290423,2962208822,sold,2023-12-04T15:35:29.000000Z,,,2022.0,,2023-11-21,323000.0,3.0,,,,2119.0,3.0,condo,,2.0,2.0,3.0,condos,,,,,,,,,,False,46239,Indiana,Indianapolis,-85.996483,39.700359,True,,True,,True,,,,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4910881123,2957122634,sold,2023-06-27T21:26:48.000000Z,,,1924.0,,2023-11-16,92500.0,1.0,,,4792.0,825.0,1.0,,,,1.0,2.0,single_family,,,,,False,,,,,False,46218,Indiana,Indianapolis,-86.109336,39.808356,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
